"filename", "language", "PHP", "JavaScript", "HTML", "JSON", "CSS", "Markdown", "XML", "Shell Script", "YAML", "Docker", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\forms\basic-form-elements.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 21
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\forms\dropify.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\forms\editors.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\forms\form-validation.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 58
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\forms\form-wizard.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 90
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\index.js", "JavaScript", 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 217
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\maps\google.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 98
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\maps\jvectormap.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 84
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\medias\image-gallery.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\tables\editable-table.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\tables\footable.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\tables\jquery-datatable.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\ticket-page.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 39
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\todo-js.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 60
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\ui\notifications.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\ui\range-sliders.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 93
